,name,x_min,y_min,x_max,y_max
6,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area",-76.3864433208,39.4042670158,-76.2204166792,39.6136869842
9,"Abilene, TX Urbanized Area",-99.8008192394,32.3608175049,-99.6935567606,32.4961144951
18,"Aguadilla--Isabela--San Sebastián, PR Urbanized Area",-67.1523946064,18.2278422237,-66.9281233936,18.5107297763
23,"Akron, OH Urbanized Area",-81.6226613706,40.9012835779,-81.3611326294,41.2311664221
30,"Albany--Schenectady, NY Urbanized Area",-73.9251741908,42.5891068615,-73.6758438092,42.9036031385
38,"Albuquerque, NM Urbanized Area",-106.743641735,34.9966003349,-106.514138265,35.2860876651
51,"Allentown, PA--NJ Urbanized Area",-75.5770694886,40.4809551678,-75.3072665114,40.8212748322
66,"Amarillo, TX Urbanized Area",-101.914451838,35.1151422381,-101.783822162,35.2799137619
78,"Anchorage, AK Urbanized Area",-149.913982996,61.0836035954,-149.780327004,61.2521924046
90,"Ann Arbor, MI Urbanized Area",-83.7542531062,42.1244947525,-83.5711048938,42.3555112475
93,"Antioch, CA Urbanized Area",-121.847508784,37.9092079655,-121.716731216,38.0741660345
95,"Appleton, WI Urbanized Area",-88.4849446931,44.1535299439,-88.3372473069,44.3398300561
108,"Arecibo, PR Urbanized Area",-66.8744385623,18.3707589725,-66.7415014377,18.5384410275
119,"Asheville, NC Urbanized Area",-82.7835525288,35.3876091285,-82.5475874712,35.6852468715
135,"Athens-Clarke County, GA Urbanized Area",-83.4701797674,33.8513658957,-83.3263622326,34.0327721043
137,"Atlanta, GA Urbanized Area",-84.7047109691,33.353798823,-83.9590050309,34.294405177
140,"Atlantic City, NJ Urbanized Area",-74.6712220959,39.2693218563,-74.5090339041,39.4739001437
154,"Augusta-Richmond County, GA--SC Urbanized Area",-82.1131621819,33.3406436796,-81.8795938181,33.6352583204
160,"Austin, TX Urbanized Area",-97.9273059196,30.1493863628,-97.5957240804,30.5676316372
165,"Avondale--Goodyear, AZ Urbanized Area",-112.46699853,33.3869789224,-112.33105347,33.5584550776
171,"Bakersfield, CA Urbanized Area",-119.115854278,35.2546936379,-118.945263722,35.4698703621
176,"Baltimore, MD Urbanized Area",-76.8418781883,38.9892453761,-76.4536418117,39.4789526239
187,"Barnstable Town, MA Urbanized Area",-70.6971973057,41.4705719326,-70.4557806943,41.7750860674
205,"Baton Rouge, LA Urbanized Area",-91.1777496552,30.2527602303,-90.9000743448,30.6030097697
220,"Beaumont, TX Urbanized Area",-94.1965316586,30.0316253965,-94.0577063414,30.2067346035
244,"Bellingham, WA Urbanized Area",-122.527312177,48.7118133223,-122.426735823,48.8386766777
