osm_id,type
5029221,primary
5668968,residential
5668989,unclassified
5668977,residential
5052941,primary
5052919,primary
5668993,service
5668999,unclassified
5668973,tertiary_link
5669125,footway
5669177,motorway_link
5668986,residential
5668983,residential
5669154,motorway
5669261,unclassified
5669002,residential
5668997,service
5668966,secondary
5669174,motorway
5669013,unclassified
5669008,residential
5669205,motorway_link
5669000,unclassified
5669292,pedestrian
5669218,motorway_link
5669248,motorway_link
4758650,motorway
5669228,service
5669227,secondary
5669004,residential
5669206,motorway_link
5669290,secondary
5669025,motorway_link
5669304,motorway_link
5669067,motorway_link
5669328,motorway_link
5669326,motorway_link
5669355,residential
5669356,motorway_link
5669370,motorway_link
5669329,primary
5669198,motorway_link
5669396,footway
5669190,motorway_link
5669108,footway
5669221,motorway_link
5669262,footway
5669414,motorway_link
5669077,motorway_link
5669420,motorway_link
5669434,motorway_link
5669101,motorway_link
5669348,motorway_link
5669407,secondary
5669443,motorway_link
5052897,primary
5669406,motorway_link
5669305,motorway
5669394,motorway_link
5669194,motorway_link
5669320,motorway_link
5669323,footway
5669509,residential
5669226,motorway_link
5669423,motorway_link
5669486,primary_link
5669236,motorway_link
5669373,unclassified
5669402,footway
5669321,motorway_link
5669563,residential
5669322,motorway_link
5669445,motorway_link
5669572,motorway_link
5669417,motorway_link
5669593,residential
5669581,motorway_link
5669451,residential
5669316,secondary
5669595,primary
5669282,steps
5669343,unclassified
5669599,motorway_link
5669606,motorway_link
5669484,residential
5669615,residential
5669597,motorway_link
5669533,motorway_link
5669636,motorway_link
5669639,residential
5669662,residential
5669566,motorway
5669631,residential
5669099,motorway_link
5669665,residential
5669666,residential
5669475,motorway_link
5669478,motorway_link
5669353,footway
5669449,residential
5669664,residential
5669702,residential
5669710,residential
5669577,motorway_link
5669163,motorway_link
5669714,residential
5669719,residential
5669804,unclassified
5669594,motorway_link
5669386,secondary
5669799,primary
5669501,residential
5669809,unclassified
5669822,secondary
5669815,unclassified
5669428,motorway_link
5669835,unclassified
5669454,residential
5669580,motorway_link
5669842,unclassified
5669841,residential
5669846,tertiary
5669850,residential
5669860,residential
5669863,residential
5669857,primary
5669866,residential
5669872,residential
5669491,motorway_link
5669878,residential
5669875,unclassified
5669485,residential
5669881,residential
5669882,unclassified
5669886,residential
5669892,primary
5669896,residential
5669899,service
