,BLOCK,LOT,CD,CT2010,CB2010,ZipCode,LandUse,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,LotType,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,Tract2010,XCoord,YCoord,SHAPE_Leng,SHAPE_Area
1,7,27,101,9,1016,10004,5,1019,3632,3632,0,0,3632,0,0,0,0,1,4.5,0,2,18.92,52.83,19,53,5,229500,596700,0,0,1900,0,0,3.56,10,15,15,1,9,981194,195504,163.9631339,1196.359514
2,8,39,101,9,1015,10004,5,5598,46724,46724,0,0,0,0,0,0,46724,1,7,0,1,78.92,109.25,78,109,3,1035000,4761900,0,0,1950,2009,2009,8.35,10,15,15,1,9,980840,195442,297.4309536,4800.323692
3,9,1,101,9,1013,10004,5,29481,845018,845018,0,839651,5367,0,0,0,0,1,32,0,9,211.33,162.17,210,146,3,23895000,104542200,0,646200,1970,1988,2002,28.66,10,15,15,1,9,980562,195311,726.2068195,30605.42876
4,9,14,101,9,1013,10004,5,23080,544015,544015,0,542515,0,0,1500,0,0,1,42,0,0,227.83,176,176,118,3,14670000,61898850,0,0,1987,1985,0,23.57,10,15,15,1,9,980402,195359,686.2312712,23733.07202
5,9,29,101,9,1008,10004,5,39985,896956,896956,0,864078,2878,30000,0,0,0,1,35,0,9,133.92,284.42,131,316,1,35280000,64397250,0,0,1971,0,0,22.43,10,15,15,1,9,980443,195525,857.4575199,40564.42694
6,10,1,101,9,1009,10004,5,8671,24484,24484,0,24484,0,0,0,0,0,1,2,0,1,22.08,191.75,22,191,3,607500,2534850,0,0,1963,0,0,2.82,10,15,15,1,9,980884,195568,495.3303898,9797.739029
7,10,14,101,9,1009,10004,5,13214,365792,365792,0,365792,0,0,0,0,0,1,30,0,15,81.92,161.17,58,160,3,7875000,40065300,0,0,1986,2003,2004,27.68,10,15,15,1,9,980734,195538,520.553249,13546.78059
8,10,15,101,9,1009,10004,5,2077,14829,14829,0,10829,4000,0,0,0,0,1,7,0,1,32.67,58,33,62,3,406800,1448100,0,0,1921,1982,0,7.14,10,15,15,1,9,980679,195577,199.868304,2268.012305
9,10,32,101,9,1026,10004,4,1932,9075,5601,3474,0,5601,0,0,0,0,1,5,2,6,24.5,77.83,24,80,5,380250,995400,0,0,1910,0,0,4.7,10,15,15,1,9,980790,195721,217.0404269,1969.741471
10,10,33,101,9,1026,10004,5,6834,0,0,0,0,0,0,0,0,0,1,43,0,1,71.5,125,71.12,125,4,3690450,31084200,0,0,2007,0,0,0,10,15,15,1,9,980840,195705,405.3127838,7113.437174
